gene,cefoperazone,clindamycin,streptomycin,gnotobiotic
272563.8.peg.1023,0.0,0.0,0.0,0.0
272563.8.peg.1034,1.0,2.0,4.0,0.0
272563.8.peg.1040,0.0,0.0,0.0,0.0
272563.8.peg.1041,0.0,0.0,0.0,0.0
272563.8.peg.1042,0.0,0.0,1.0,0.0
272563.8.peg.1043,0.0,2.0,0.0,0.0
272563.8.peg.1045,1.0,1.0,3.0,0.0
272563.8.peg.1046,0.0,0.0,4.0,1.0
272563.8.peg.1052,0.0,0.0,0.0,0.0
272563.8.peg.1054,1.0,0.0,0.0,1.0
272563.8.peg.1055,1.0,1.0,2.0,0.0
272563.8.peg.1056,2.0,1.0,0.0,2.0
272563.8.peg.105,52.0,39.0,24.0,172.0
272563.8.peg.1062,11.0,1.0,6.0,1.0
272563.8.peg.106,80.0,33.0,16.0,29.0
272563.8.peg.1085,0.0,2.0,1.0,0.0
272563.8.peg.1086,0.0,0.0,0.0,0.0
272563.8.peg.1087,4.0,7.0,7.0,2.0
272563.8.peg.1088,1.0,0.0,7.0,1.0
272563.8.peg.1099,3.0,2.0,4.0,1.0
272563.8.peg.10,9.0,5.0,1.0,10.0
272563.8.peg.1101,2.0,3.0,5.0,2.0
272563.8.peg.1109,49.0,72.0,81.0,8.0
272563.8.peg.1110,52.0,51.0,129.0,7.0
272563.8.peg.1111,63.0,64.0,130.0,10.0
272563.8.peg.1124,1.0,3.0,2.0,0.0
272563.8.peg.1128,1.0,1.0,1.0,0.0
272563.8.peg.1130,0.0,1.0,2.0,1.0
272563.8.peg.1131,0.0,0.0,0.0,0.0
272563.8.peg.1132,1.0,2.0,2.0,0.0
272563.8.peg.1137,1.0,1.0,4.0,1.0
272563.8.peg.113,76.0,46.0,31.0,303.0
272563.8.peg.1175,0.0,2.0,2.0,1.0
272563.8.peg.1176,1.0,4.0,2.0,0.0
272563.8.peg.1186,0.0,2.0,1.0,0.0
272563.8.peg.1191,2.0,2.0,9.0,1.0
272563.8.peg.1211,7.0,13.0,14.0,5.0
272563.8.peg.121,2.0,4.0,0.0,2.0
272563.8.peg.1224,1.0,0.0,0.0,0.0
272563.8.peg.122,7.0,1.0,3.0,5.0
272563.8.peg.1231,38.0,51.0,24.0,0.0
272563.8.peg.1233,20.0,15.0,19.0,213.0
272563.8.peg.1238,15.0,7.0,1.0,4.0
272563.8.peg.123,19.0,15.0,7.0,7.0
272563.8.peg.1240,18.0,7.0,2.0,3.0
272563.8.peg.1243,36.0,8.0,5.0,16.0
272563.8.peg.1250,10.0,5.0,2.0,1.0
272563.8.peg.1264,1.0,0.0,3.0,6.0
272563.8.peg.1266,2.0,1.0,1.0,1.0
272563.8.peg.1279,6.0,7.0,6.0,1.0
272563.8.peg.1282,6.0,8.0,7.0,1.0
272563.8.peg.1283,1.0,10.0,6.0,1.0
